OLD_SHA	NEW_SHA
a17e5cf3c9dad089b8f9ed2c57eeac09b26ca56c	a7a122f240124ea76f988ee4a55ff5880a217592
b3f79cd174bfde7097d3b589bcc620ff6d487a76	cc2498c5a7a5d0ebed066713ceca1896b92f5358
e6130e22b5e4649e43893d2bd3d8fb19b2081cbf	097eee16238f4d3f15ce8a719307b00ada9f1af1
4720ee0aec8e0818f37ad3c0b13ee7a423c29f5a	5d93cf51bc488a1ebe41fe8d03cbc504f2b87add
338bd29bf41c768d92005c9caa6287ff347384cf	0b777ee89135f9c89fef2824b73b16cde61e7e2c
50f1c768d8af770ccee852790cceffb125f82061	bbdcc1ddcdb41a93d056682e2e596c03be78d6bf
ca52910e032bbe4e1728042b743928d604cc3e69	655a171e1c1aefd33badd36ad7ab3b58fc6634d9
828bafaa1e56517843274e106740fa662e15b4d8	15384add6a65a32e5d40fa8bf25f9e57a31ba6fb
e7cad1895d3cc1914030ba0d5480e3cb99ec387b	10d9d09cc66652e54d1d78bd3e318a22330395bc
3b773ea49933e6f9c7a4958a7e8acaad0e4ffaf0	07cbbd838ac8318626aff6b0d326cac7f1b44b8b
0a7a41528c9b39144afabdf3395793d6fc113aae	6d7af84c8a51d9e1a791d842dc1de113841da9e5
dfa16b49c150abf42b447d57fa0210b535ae0a40	a8bcb977b499bfda8237b91cd137cc93cef012f9
0b8c16e473a42cf8333e64d987036c2148f1d2f0	7ad8e53086e79ec066123a1ddbdc23786fdefd74
e55580ebb9978beeab20e86777408f80cdedb34a	5990df233ce246e7b6c586e1ae9d60d29d797072
44d9022486bca724769fa8e5f7b7c7a892cb310a	d806c8c6d9c01187cffbc935061ab299d9c944f8
0e041d371516591f34bfe8433aae59ab1d18aab0	a39bc55a4c3eca064019ec1eebb6b31776133769
b345a183988d99f9cde2ef767b85a4f113c76829	e02f8a3f70d1a6a2a24da13f4f88578907e215e8
4b8f516c294c10ce5eb4eac19e380e17ac25f2c9	7c7b9096e070ed1d658c5906fa73217ec1dbb4e5
c9702011c758528752e64e438f9866455d6c9779	2b8d4383c6774be9a3a2f5cc7180432d2bc637b3
a32c8dd75737b90c0abbbcc1393fcd33a6747342	1140e9f30fa77362bd47cd8c7ea9fdd666aae137
2fe1d28c9f0ee600f1f015e13c905b6680fa4933	48bcf4bc5dcccfbc55b185319867266dfceaac64
2808719ba1bf53ef9bb75fa7c1b0d8ca2ead5abc	3a374b7ba6f8e58d2c99975243d33631e9c4ba9a
bbb3a2340f16fcd3561273a5f795b5f552dcd800	28427cd19881a464e5d48544a90c19977b341119
b8c78459707d1896e2122220b896c4b2d2729521	f65c8350e4bd3ceb561f7378bc550030dac2f5d8
